Red,Green,Blue
0.500,0.269,0.231
0.480,0.280,0.240
0.500,0.273,0.227
0.476,0.286,0.238
0.476,0.286,0.238
0.476,0.286,0.238
0.476,0.286,0.238
0.474,0.263,0.263
0.474,0.263,0.263
0.471,0.294,0.235
0.500,0.278,0.222
0.500,0.278,0.222
0.474,0.263,0.263
0.476,0.286,0.238
0.476,0.286,0.238
0.500,0.273,0.227
0.500,0.273,0.227
0.500,0.292,0.208
0.480,0.280,0.240
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.480,0.280,0.240
0.480,0.280,0.240
0.480,0.280,0.240
0.480,0.280,0.240
0.480,0.280,0.240
0.500,0.269,0.231
0.480,0.280,0.240
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.480,0.280,0.240
0.480,0.280,0.240
0.480,0.280,0.240
0.480,0.280,0.240
0.480,0.280,0.240
0.480,0.280,0.240
0.480,0.280,0.240
0.480,0.280,0.240
0.480,0.280,0.240
0.480,0.280,0.240
0.500,0.269,0.231
0.500,0.269,0.231
0.480,0.280,0.240
0.480,0.280,0.240
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.480,0.280,0.240
0.500,0.269,0.231
0.480,0.280,0.240
0.480,0.280,0.240
0.480,0.280,0.240
0.480,0.280,0.240
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.480,0.280,0.240
0.480,0.280,0.240
0.480,0.280,0.240
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.480,0.280,0.240
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.480,0.280,0.240
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.500,0.269,0.231
0.519,0.259,0.222
0.483,0.276,0.241
