Red,Green,Blue
0.519,0.247,0.234
0.519,0.250,0.231
0.522,0.248,0.230
0.518,0.250,0.232
0.518,0.247,0.235
0.521,0.249,0.231
0.520,0.246,0.234
0.522,0.242,0.236
0.524,0.243,0.233
0.526,0.240,0.235
0.528,0.241,0.231
0.528,0.241,0.231
0.528,0.241,0.231
0.525,0.242,0.232
0.523,0.241,0.236
0.521,0.245,0.234
0.524,0.243,0.233
0.521,0.245,0.234
0.522,0.242,0.237
0.522,0.242,0.237
0.522,0.242,0.237
0.522,0.242,0.237
0.524,0.243,0.232
0.524,0.243,0.232
0.522,0.245,0.234
0.522,0.245,0.234
0.522,0.245,0.234
0.519,0.246,0.235
0.525,0.243,0.232
0.522,0.244,0.233
0.522,0.244,0.233
0.520,0.246,0.235
0.520,0.246,0.235
0.520,0.246,0.235
0.517,0.247,0.236
0.520,0.246,0.235
0.520,0.246,0.235
0.517,0.247,0.236
0.520,0.246,0.235
0.520,0.243,0.237
0.520,0.246,0.235
0.523,0.244,0.233
0.520,0.243,0.237
0.520,0.243,0.237
0.520,0.246,0.235
0.520,0.246,0.235
0.523,0.244,0.233
0.523,0.244,0.233
0.523,0.244,0.233
0.523,0.244,0.233
0.525,0.243,0.232
0.520,0.246,0.235
0.522,0.242,0.236
0.525,0.243,0.232
0.523,0.244,0.233
0.523,0.244,0.233
0.522,0.242,0.236
0.522,0.242,0.236
0.517,0.247,0.236
0.520,0.246,0.235
0.520,0.243,0.237
0.520,0.243,0.237
0.520,0.243,0.237
0.523,0.244,0.233
0.523,0.244,0.233
0.523,0.244,0.233
0.523,0.244,0.233
0.523,0.244,0.233
0.523,0.244,0.233
0.523,0.244,0.233
0.523,0.244,0.233
0.523,0.244,0.233
0.523,0.244,0.233
0.523,0.244,0.233
0.523,0.244,0.233
0.523,0.244,0.233
0.523,0.244,0.233
0.523,0.244,0.233
0.523,0.244,0.233
0.523,0.244,0.233
0.523,0.244,0.233
0.523,0.244,0.233
0.523,0.244,0.233
0.523,0.244,0.233
0.523,0.244,0.233
0.523,0.244,0.233
0.523,0.244,0.233
0.523,0.244,0.233
0.523,0.244,0.233
0.523,0.244,0.233
0.523,0.244,0.233
0.523,0.244,0.233
0.523,0.244,0.233
0.520,0.246,0.234
0.523,0.244,0.233
0.520,0.246,0.234
0.523,0.244,0.233
0.523,0.244,0.233
0.523,0.244,0.233
0.523,0.244,0.233
0.523,0.244,0.233
0.520,0.246,0.234
0.523,0.244,0.233
0.523,0.244,0.233
0.520,0.246,0.234
0.520,0.246,0.234
0.520,0.246,0.234
0.520,0.246,0.234
0.520,0.246,0.234
0.520,0.246,0.234
0.520,0.246,0.234
0.520,0.246,0.234
0.520,0.246,0.234
0.520,0.246,0.234
0.520,0.246,0.234
0.520,0.246,0.234
0.520,0.246,0.234
0.520,0.246,0.234
0.523,0.244,0.233
0.523,0.244,0.233
0.520,0.246,0.234
0.521,0.249,0.231
0.518,0.247,0.235
0.519,0.247,0.235
